id	female	male	mated	dnm	failure	latency	mating_duration
68	dhm	iv	1	0	0	42.744	36.69
69	dhm	iv	1	0	0	79.336	26.37
70	dhm	iv	1	0	0	18.328	24.21
71	dhm	iv	1	0	0	38.24	30.86
72	dhm	iv	1	0	0	119.882	21.83
73	dhm	iv	1	0	0	10.654	22.12
74	dhm	iv	1	0	0	8.596	22.83
75	dhm	iv	1	0	0	28.528	24.93
76	val	dhm	1	0	0	27.35	15.17
77	val	dhm	1	0	0	58.9504	19.09
78	val	dhm	1	0	0	103.3308	25.99
79	val	dhm	1	0	0	48.1612	18.88
80	val	dhm	1	0	0	48.0616	20.08
81	val	dhm	1	0	0	16.522	22.35
82	val	dhm	1	0	0	63.6824	17
83	val	dhm	0	1	0	-13.7472	0
84	val	dhm	1	0	0	23.3332	17.4
85	val	dhm	1	0	0	111.0936	19.21
86	val	dhm	0	1	0	-14.046	0
87	val	dhm	1	0	0	108.3144	19.08
88	val	dhm	1	0	0	76.2448	15.75
89	val	dhm	1	0	0	18.9152	17.02
90	val	dhm	0	1	0	-14.4444	0
91	val	dhm	1	0	0	54.576	23.28
92	val	dhm	0	1	0	-14.6436	0
93	val	dhm	1	0	0	58.3368	19.32
94	val	dhm	1	0	0	50.3872	21.87
95	val	dhm	0	0	1	-14.9424	0
96	val	dhm	0	0	1	-15.042	0
97	val	dhm	0	0	1	-15.1416	0
98	val	dhm	0	0	1	-15.2412	0
99	val	dhm	0	0	1	-15.3408	0
100	val	dhm	0	0	1	-15.4404	0
101	lhm	dhm	1	0	0	63.07	10
102	lhm	dhm	0	1	0	-16.4056	0
103	lhm	dhm	1	0	0	29.9188	11.64
104	lhm	dhm	1	0	0	7.6632	12.17
105	lhm	dhm	1	0	0	34.3576	8.9
106	lhm	dhm	1	0	0	81.692	14.99
107	lhm	dhm	1	0	0	105.3164	22.11
108	lhm	dhm	1	0	0	73.2408	16.95
109	lhm	dhm	1	0	0	67.3252	15.63
110	lhm	dhm	1	0	0	124.1196	15.88
111	lhm	dhm	1	0	0	84.884	15.03
112	lhm	dhm	1	0	0	133.7484	16.88
113	lhm	dhm	1	0	0	-17.6772	0
114	lhm	dhm	1	0	0	79.3372	12.45
115	lhm	dhm	1	0	0	57.4416	17.76
116	lhm	dhm	1	0	0	45.226	16.31
117	lhm	dhm	1	0	0	37.3104	13
118	lhm	dhm	1	0	0	33.0148	13.15
119	lhm	dhm	1	0	0	163.7292	17.08
120	lhm	dhm	1	0	0	46.0536	17.96
121	lhm	dhm	0	1	0	-18.602	0
122	lhm	dhm	0	0	1	-18.7176	0
123	lhm	dhm	0	0	1	-18.8332	0
124	lhm	dhm	0	0	1	-18.9488	0
125	lhm	dhm	0	0	1	-19.0644	0
126	val	iv	1	0	0	20.2	15.6
127	val	iv	1	0	0	9.0468	17.74
128	val	iv	1	0	0	10.9436	16
129	val	iv	1	0	0	59.2504	23.51
130	val	iv	1	0	0	100.3372	24.32
131	val	iv	1	0	0	103.264	22.06
132	val	iv	0	1	0	-21.2192	0
133	val	iv	1	0	0	32.7876	22.25
134	val	iv	1	0	0	63.0244	21.51
135	val	iv	1	0	0	12.4112	25.49
136	val	iv	1	0	0	52.368	24.35
137	val	iv	1	0	0	102.2448	29.18
138	val	iv	1	0	0	95.4116	20.6
139	val	iv	0	1	0	-22.2916	0
140	val	iv	1	0	0	21.6452	43.18
141	val	iv	1	0	0	92.832	29.75
142	val	iv	1	0	0	13.7488	32.04
143	val	iv	1	0	0	95.1356	23.55
144	val	iv	1	0	0	54.2924	29.1
145	val	iv	0	1	0	-23.2108	0
146	val	iv	1	0	0	120.676	23.53
147	val	iv	1	0	0	106.9428	22.87
148	val	iv	1	0	0	73.7396	21.11
149	val	iv	0	0	1	-23.8236	0
150	val	iv	0	0	1	-23.9768	0
151	lhm	iv	1	0	0	37.12	21.59
152	lhm	iv	1	0	0	46.7736	18.68
153	lhm	iv	0	1	0	-24.7728	0
154	lhm	iv	0	1	0	-24.9592	0
155	lhm	iv	0	1	0	-25.1456	0
156	lhm	iv	0	1	0	-25.332	0
157	lhm	iv	0	1	0	-25.5184	0
158	lhm	iv	0	1	0	-25.7048	0
159	lhm	iv	0	1	0	-25.8912	0
160	lhm	iv	0	1	0	-26.0776	0
161	lhm	iv	0	1	0	-26.264	0
162	lhm	iv	0	1	0	-26.4504	0
163	lhm	iv	1	0	0	11.4732	16.37
164	lhm	iv	0	1	0	-26.8232	0
165	lhm	iv	0	1	0	-27.0096	0
166	lhm	iv	0	1	0	-27.196	0
167	lhm	iv	0	1	0	-27.3824	0
168	lhm	iv	0	1	0	-27.5688	0
169	lhm	iv	0	1	0	-27.7552	0
170	lhm	iv	0	1	0	-27.9416	0
171	lhm	iv	0	1	0	-28.128	0
172	lhm	iv	0	1	0	-28.3144	0
173	lhm	iv	0	1	0	-28.5008	0
174	lhm	iv	0	1	0	-28.6872	0
175	lhm	iv	1	0	0	9.2364	16.37
176	iv	dhm	0	1	0	-29.5896	0
177	iv	dhm	1	0	0	105.7308	14.96
178	iv	dhm	1	0	0	171.4412	23.73
179	iv	dhm	1	0	0	40.0616	18.13
180	iv	dhm	1	0	0	57.522	20.76
181	iv	dhm	0	1	0	-30.1876	0
182	iv	dhm	1	0	0	77.9528	21.8
183	iv	dhm	1	0	0	17.1032	13.75
184	iv	dhm	1	0	0	42.9336	21.71
185	iv	dhm	0	1	0	-30.666	0
186	iv	dhm	1	0	0	25.3044	20.98
187	iv	dhm	1	0	0	60.6248	20.75
188	iv	dhm	1	0	0	15.1452	16.21
189	iv	dhm	1	0	0	9.3856	14.84
190	iv	dhm	1	0	0	30.926	17.06
191	iv	dhm	1	0	0	7.7664	19.4
192	iv	dhm	1	0	0	12.6468	15.23
193	iv	dhm	1	0	0	22.6972	14.96
194	iv	dhm	0	1	0	-31.7424	0
195	iv	dhm	1	0	0	65.258	18.22
196	iv	dhm	1	0	0	21.4584	7.1
197	iv	dhm	0	0	1	-32.1012	0
198	iv	dhm	0	0	1	-32.2208	0
199	iv	dhm	0	0	1	-32.3404	0
200	iv	dhm	0	0	1	-32.46	0
201	lhm	lhm	1	0	0	16.59	29.47
202	lhm	lhm	1	0	0	125.3396	28.94
203	lhm	lhm	1	0	0	12.0892	25.82
204	lhm	lhm	1	0	0	9.8988	21.93
205	lhm	lhm	0	1	0	-0.4816	0
206	lhm	lhm	1	0	0	46.648	22.9
207	lhm	lhm	1	0	0	77.3576	35.2
208	lhm	lhm	0	1	0	-0.8428	0
209	lhm	lhm	1	0	0	39.1768	23.87
210	lhm	lhm	1	0	0	53.2864	21.03
211	lhm	lhm	0	1	0	-1.204	0
212	lhm	lhm	1	0	0	74.2356	16.97
213	lhm	lhm	0	1	0	-1.4448	0
214	lhm	lhm	0	1	0	-1.5652	0
215	lhm	lhm	1	0	0	39.4444	31.94
216	lhm	lhm	1	0	0	139.234	25.2
217	lhm	lhm	1	0	0	105.0936	25.28
218	lhm	lhm	0	1	0	-2.0468	0
219	lhm	lhm	0	1	0	-2.1672	0
220	lhm	lhm	0	0	1	-2.2876	0
221	lhm	lhm	0	0	1	-2.408	0
222	lhm	lhm	0	0	1	-2.5284	0
223	lhm	lhm	0	0	1	-2.6488	0
224	lhm	lhm	0	0	1	-2.7692	0
225	lhm	lhm	0	0	1	-2.8896	0
226	val	val	0	1	0	-4.64	0
227	val	val	1	0	0	65.46	21.97
228	val	val	1	0	0	56.48	15.73
229	val	val	1	0	0	12.43	13.92
230	val	val	1	0	0	118.92	24
231	val	val	1	0	0	9.73	15.12
232	val	val	1	0	0	65.72	16.82
233	val	val	1	0	0	22.63	19.2
234	val	val	1	0	0	42.68	17.78
235	val	val	1	0	0	130.45	29.22
236	val	val	1	0	0	44.52	18.49
237	val	val	1	0	0	117.86	22.02
238	val	val	0	1	0	-6.32	0
239	val	val	1	0	0	78.12	17.01
240	val	val	1	0	0	116.91	22.99
241	val	val	1	0	0	114.28	22.51
242	val	val	1	0	0	11.19	24.47
243	val	val	1	0	0	131.49	15.89
244	val	val	1	0	0	47.39	17.74
245	val	val	1	0	0	51	17.96
246	val	val	1	0	0	46.68	23.28
247	val	val	1	0	0	11.82	16.77
248	val	val	1	0	0	-7.72	0
249	val	val	0	1	0	-7.86	0
250	val	val	1	0	0	73.49	23.71
251	iv	lhm	1	0	0	9.0524	27.79
252	iv	lhm	1	0	0	69.8248	34.24
253	iv	lhm	0	1	0	-9.4228	0
254	iv	lhm	1	0	0	73.9696	33.08
255	iv	lhm	1	0	0	75.582	35.16
256	iv	lhm	1	0	0	109.3144	38.36
257	iv	lhm	1	0	0	14.2468	33.17
258	iv	lhm	0	1	0	-10.0108	0
259	iv	lhm	1	0	0	182.2816	32.59
260	iv	lhm	0	1	0	-10.246	0
261	iv	lhm	0	1	0	-10.3636	0
262	iv	lhm	0	1	0	-10.4812	0
263	iv	lhm	0	1	0	-10.5988	0
264	iv	lhm	0	1	0	-10.7164	0
265	iv	lhm	0	1	0	-10.834	0
266	iv	lhm	0	1	0	-10.9516	0
267	iv	lhm	0	1	0	-11.0692	0
268	iv	lhm	1	0	0	120.2032	35.01
269	iv	lhm	1	0	0	138.7756	2.01
270	iv	lhm	0	1	0	-11.422	0
271	iv	lhm	0	0	1	-11.5396	0
272	iv	lhm	0	0	1	-11.6572	0
273	iv	lhm	0	0	1	-11.7748	0
274	iv	lhm	0	0	1	-11.8924	0
275	iv	lhm	0	0	1	-12.01	0
276	dhm	lhm	0	1	0	-12	0
277	dhm	lhm	0	1	0	-12.0924	0
278	dhm	lhm	1	0	0	113.9652	26.35
279	dhm	lhm	0	1	0	-12.2772	0
280	dhm	lhm	0	1	0	-12.3696	0
281	dhm	lhm	0	1	0	-12.462	0
282	dhm	lhm	1	0	0	60.6456	25.21
283	dhm	lhm	0	1	0	-12.6468	0
284	dhm	lhm	0	1	0	-12.7392	0
285	dhm	lhm	0	1	0	-12.8316	0
286	dhm	lhm	0	1	0	-12.924	0
287	dhm	lhm	1	0	0	83.3136	40.77
288	dhm	lhm	0	1	0	-13.1088	0
289	dhm	lhm	0	1	0	-13.2012	0
290	dhm	lhm	0	1	0	-13.2936	0
291	dhm	lhm	1	0	0	136.074	31.64
292	dhm	lhm	1	0	0	100.9616	40.7
293	dhm	lhm	0	1	0	-13.5708	0
294	dhm	lhm	0	1	0	-13.6632	0
295	dhm	lhm	0	0	1	-13.7556	0
296	dhm	lhm	0	0	1	-13.848	0
297	dhm	lhm	0	0	1	-13.9404	0
298	dhm	lhm	0	0	1	-14.0328	0
299	dhm	lhm	0	0	1	-14.1252	0
300	dhm	lhm	0	0	1	-14.2176	0
301	dhm	val	1	0	0	100.25	21.88
302	dhm	val	1	0	0	40.124	48.91
303	dhm	val	1	0	0	21.978	18.77
304	dhm	val	1	0	0	106.002	20.65
305	dhm	val	1	0	0	29.746	20.04
306	dhm	val	1	0	0	22.72	10.79
307	dhm	val	1	0	0	114.484	15.83
308	dhm	val	1	0	0	130.328	26.21
309	dhm	val	1	0	0	118.212	22.98
310	dhm	val	1	0	0	18.086	19.25
311	dhm	val	1	0	0	138.16	26.78
312	dhm	val	0	1	0	-19.496	0
313	dhm	val	1	0	0	122.588	24.86
314	dhm	val	0	1	0	-19.768	0
315	dhm	val	0	1	0	-19.904	0
316	dhm	val	1	0	0	117.39	21.65
317	dhm	val	1	0	0	7.124	18.87
318	dhm	val	1	0	0	55.188	23.75
319	dhm	val	0	1	0	-20.448	0
320	dhm	val	1	0	0	51.606	24.28
321	dhm	val	0	1	0	-20.72	0
322	dhm	val	0	1	0	-20.856	0
323	dhm	val	1	0	0	24.358	20.93
324	dhm	val	0	1	0	-21.128	0
325	dhm	val	1	0	0	22.016	16.12
326	iv	val	1	0	0	107.03	23.22
327	iv	val	1	0	0	49.248	23.75
328	iv	val	1	0	0	33.196	21.6
329	iv	val	1	0	0	52.194	16.07
330	iv	val	1	0	0	13.622	13.45
331	iv	val	1	0	0	115.97	23.06
332	iv	val	1	0	0	19.568	13.26
333	iv	val	1	0	0	161.576	21.1
334	iv	val	0	1	0	-23.816	0
335	iv	val	1	0	0	75.442	10.66
336	iv	val	0	1	0	-24.02	0
337	iv	val	1	0	0	10.278	17.49
338	iv	val	1	0	0	74.096	19.85
339	iv	val	1	0	0	18.854	10.12
340	iv	val	1	0	0	92.712	18.38
341	iv	val	1	0	0	27.51	18.06
342	iv	val	1	0	0	38.488	21.12
343	iv	val	1	0	0	10.706	19.04
344	iv	val	1	0	0	40.704	18.7
345	iv	val	0	1	0	-24.938	0
346	iv	val	0	1	1	-25.04	0
347	iv	val	0	0	1	-25.142	0
348	iv	val	0	0	1	-25.244	0
349	iv	val	0	0	1	-25.346	0
350	iv	val	0	0	1	-25.448	0
351	lhm	val	1	0	0	15.47	8.97
352	lhm	val	1	0	0	67.3888	15.44
353	lhm	val	1	0	0	13.2176	14.15
354	lhm	val	1	0	0	8.2364	15.45
355	lhm	val	1	0	0	15.1052	8.06
356	lhm	val	0	1	0	-28.116	0
357	lhm	val	1	0	0	18.2628	14.71
358	lhm	val	1	0	0	19.1916	12.81
359	lhm	val	0	1	0	-28.4496	0
360	lhm	val	1	0	0	16.7892	21.69
361	lhm	val	1	0	0	6.388	16.42
362	lhm	val	0	1	0	-28.7832	0
363	lhm	val	1	0	0	31.3356	14.88
364	lhm	val	1	0	0	84.3544	19.04
365	lhm	val	0	1	0	-29.1168	0
366	lhm	val	1	0	0	49.222	13.73
367	lhm	val	1	0	0	12.9708	10.87
368	lhm	val	1	0	0	23.6196	14.41
369	lhm	val	1	0	0	49.4384	19.43
370	lhm	val	1	0	0	153.8972	11.98
371	lhm	val	1	0	0	58.686	17.91
372	lhm	val	1	0	0	14.4548	7.87
373	lhm	val	1	0	0	12.4936	14.64
374	lhm	val	0	0	1	-30.1176	0
375	lhm	val	0	0	1	-30.2288	0
376	val	lhm	1	0	0	31.64	28.29
377	val	lhm	1	0	0	101.4916	26.3
378	val	lhm	0	1	0	-31.6168	0
379	val	lhm	1	0	0	93.4548	42.15
380	val	lhm	0	1	0	-31.8336	0
381	val	lhm	0	1	0	-31.942	0
382	val	lhm	1	0	0	34.4496	23.54
383	val	lhm	1	0	0	99.4312	27.63
384	val	lhm	1	0	0	51.0128	-83.28
385	val	lhm	1	0	0	110.7344	36.18
386	val	lhm	1	0	0	142.636	31.27
387	val	lhm	0	1	0	-32.5924	0
388	val	lhm	0	1	0	-32.7008	0
389	val	lhm	0	1	0	-32.8092	0
390	val	lhm	1	0	0	34.2624	25.12
391	val	lhm	1	0	0	168.074	23.9
392	val	lhm	1	0	0	135.8656	37.39
393	val	lhm	1	0	0	158.0672	21.95
394	val	lhm	1	0	0	93.8088	29.01
395	val	lhm	0	1	0	-33.4596	0
396	val	lhm	0	1	0	-33.568	0
397	val	lhm	0	0	1	-33.6764	0
398	val	lhm	0	0	1	-33.7848	0
399	val	lhm	0	0	1	-33.8932	0
400	val	lhm	0	0	1	-34.0016	0
